time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type_group,subject_area,qualification,school_type,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,12881,8.38444,26.24796,51.4634,74.61377,89.26326,96.99557
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3489,4.78647,16.681,41.32989,66.80997,84.78074,95.44282
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5242,4.54025,18.42808,45.09729,71.53758,89.66043,97.55818
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3234,1.76252,10.01855,33.33333,62.98701,84.57019,95.45455
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4648,5.27108,21.36403,49.05336,74.65577,89.86661,97.39673
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3355,5.51416,18.80775,43.21908,69.56781,87.51118,96.60209
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2998,4.2028,16.04403,36.85791,60.30687,79.75317,92.29486
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,4737,4.74984,18.42939,44.75406,72.66202,89.31813,97.02343
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1902,5.20505,16.71924,41.69295,69.61094,88.90641,97.21346
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7164,7.38414,23.79955,50.68398,73.84143,88.65159,96.77554
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,9932,5.48731,19.35159,44.21063,69.25091,86.28675,95.92227
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3640,6.75824,22.22527,51.75824,77.91209,92.99451,98.54396
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,9087,10.59756,31.07736,57.36767,79.03599,92.13162,97.85408
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,6070,6.35914,21.21911,46.65568,72.20758,88.43493,96.68863
202223,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7246,8.08722,25.57273,54.41623,79.49213,92.49241,98.0955
202223,Academic year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3710,4.87871,19.0027,44.95957,70.72776,88.0593,96.98113
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,18377,7.10127,22.62611,48.21244,72.08467,88.01219,96.6371
202223,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,10697,8.66598,26.72712,52.15481,74.60036,89.09975,96.51304
202223,Academic year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,22464,7.89708,25.52974,53.61022,76.38444,90.0641,97.35132
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,21212,9.2212,27.98887,54.8746,77.85216,91.49538,97.68056
202223,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,19949,7.36378,24.16662,50.48373,73.82826,88.84656,96.89207
202223,Academic year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,13356,7.944,26.79695,55.2336,79.57472,92.4678,97.86613
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7415,5.32704,18.7323,42.93999,68.46932,86.51382,96.34525
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,8297,7.40027,24.44257,51.59696,75.14764,90.43028,97.60154
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,8474,6.25443,21.37125,47.35662,71.77248,88.34081,96.69578
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,8481,6.04881,21.40078,47.71843,71.84294,88.98715,97.29985
202223,Academic year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,9528,6.76952,21.87238,46.86188,70.38203,87.5105,96.33711
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1273,3.84918,17.1249,41.0055,65.35742,84.91752,95.28672
202223,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3133,9.28822,29.46058,58.1232,81.83849,94.86116,99.01053
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2676,5.23169,20.44096,47.23468,72.45889,89.53662,97.45889
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,6055,5.86292,19.43848,44.44261,68.67052,85.92898,95.0289
202223,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,507,9.27022,31.36095,65.286,90.33531,97.23866,99.01381
