School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
The Cardinal Vaughan Memorial RC School,Kensington and Chelsea,2.00%,91.00%,72.00%,67.00%,7.00%,19.35%,33.33%,Outstanding,2021-11-17 00:00:00,33.78%,London
The Grey Coat Hospital,Westminster,1.00%,97.00%,52.00%,48.00%,8.00%,14.27%,100.00%,Outstanding,2022-10-05 00:00:00,33.77%,London
Littleover Community School,Derby,4.00%,92.00%,39.00%,35.00%,3.00%,24.68%,75.00%,Good,2022-10-20 00:00:00,33.72%,East Midlands
JFS,Brent,1.00%,86.00%,61.00%,60.00%,6.00%,16.72%,75.00%,Good,2022-04-05 00:00:00,33.69%,London
Stroud High School,Gloucestershire,2.00%,81.00%,51.00%,50.00%,2.00%,17.87%,100.00%,Outstanding,2023-11-08 00:00:00,33.68%,South West
Sir Joseph Williamson's Mathematical School,Medway,5.00%,85.00%,28.00%,22.00%,2.00%,26.12%,100.00%,Outstanding,2023-03-22 00:00:00,33.67%,South East
Wirral Grammar School for Boys,Wirral,2.00%,90.00%,49.00%,39.00%,1.00%,23.28%,75.00%,Good,2022-11-09 00:00:00,33.67%,North West
Ashcroft Technology Academy,Wandsworth,2.00%,93.00%,64.00%,55.00%,2.00%,23.67%,33.33%,Outstanding,2021-09-22 00:00:00,33.61%,London
Saint Ambrose College,Trafford,2.00%,93.00%,67.00%,57.00%,2.00%,24.13%,25.00%,Good,2020-02-19 00:00:00,33.60%,North West
St Mark's Catholic School,Hounslow,1.00%,94.00%,44.00%,40.00%,2.00%,18.70%,100.00%,Outstanding,2022-09-22 00:00:00,33.52%,London
Skipton Girls' High School,North Yorkshire,2.00%,91.00%,47.00%,45.00%,5.00%,20.82%,75.00%,Good,2022-09-22 00:00:00,33.45%,Yorkshire and The Humber
Durham Johnston Comprehensive School,County Durham,1.00%,89.00%,66.00%,62.00%,5.00%,23.83%,20.00%,Outstanding,2015-02-12 00:00:00,33.41%,North East
Kingsdale Foundation School,Southwark,1.00%,85.00%,43.00%,41.00%,1.00%,20.07%,100.00%,Outstanding,2023-03-29 00:00:00,33.34%,London
Holyport College,Windsor and Maidenhead,0.00%,86.00%,46.00%,52.00%,4.00%,20.77%,75.00%,Good,2023-05-24 00:00:00,33.33%,South East
Aylesbury High School,Buckinghamshire,1.00%,91.00%,60.00%,55.00%,3.00%,26.25%,20.00%,Outstanding,2012-06-22 00:00:00,33.33%,South East
Avanti House School,Harrow,0.00%,95.00%,30.00%,28.00%,0.00%,27.73%,75.00%,Good,2023-10-05 00:00:00,33.33%,London
The University of Birmingham School,Birmingham,2.00%,89.00%,31.00%,31.00%,1.00%,27.37%,75.00%,Good,2023-05-17 00:00:00,33.32%,West Midlands
Westminster City School,Westminster,0.00%,98.00%,37.00%,36.00%,2.00%,23.92%,75.00%,Good,2022-03-23 00:00:00,33.31%,London
Rosebery School,Surrey,0.00%,87.00%,45.00%,39.00%,1.00%,19.83%,100.00%,Outstanding,2023-01-25 00:00:00,33.27%,South East
Beaconsfield High School,Buckinghamshire,5.00%,93.00%,61.00%,54.00%,6.00%,22.17%,33.33%,Outstanding,2019-12-12 00:00:00,33.26%,South East
St Mary's Catholic School,Newcastle upon Tyne,2.00%,88.00%,44.00%,42.00%,4.00%,18.12%,100.00%,Outstanding,2023-09-13 00:00:00,33.26%,North East
The Holt School,Wokingham,1.00%,85.00%,41.00%,41.00%,1.00%,20.13%,100.00%,Outstanding,2023-03-29 00:00:00,33.21%,South East
Alderbrook School,Solihull,1.00%,87.00%,38.00%,34.00%,2.00%,25.55%,75.00%,Good,2023-04-26 00:00:00,33.17%,West Midlands
Alcester Grammar School,Warwickshire,5.00%,84.00%,45.00%,40.00%,2.00%,18.83%,100.00%,Outstanding,2022-12-08 00:00:00,33.17%,West Midlands
Sacred Heart High School,Hammersmith and Fulham,0.00%,92.00%,52.00%,54.00%,0.00%,14.85%,100.00%,Outstanding,2023-11-15 00:00:00,33.16%,London
Torquay Boys' Grammar School,Torbay,2.00%,85.00%,52.00%,45.00%,3.00%,28.80%,25.00%,Good,2021-09-23 00:00:00,32.94%,South West
Stretford Grammar School,Trafford,0.00%,88.00%,48.00%,43.00%,2.00%,29.82%,25.00%,Good,2019-02-19 00:00:00,32.87%,North West
Heathside School,Surrey,1.00%,93.00%,48.00%,46.00%,2.00%,19.75%,75.00%,Good,2023-11-15 00:00:00,32.81%,South East
Didcot Girls' School,Oxfordshire,0.00%,91.00%,40.00%,38.00%,2.00%,18.80%,100.00%,Outstanding,2022-11-23 00:00:00,32.70%,South East
Sir John Lawes School,Hertfordshire,1.00%,91.00%,48.00%,41.00%,2.00%,16.60%,100.00%,Outstanding,2023-03-29 00:00:00,32.65%,East of England
Heckmondwike Grammar School,Kirklees,3.00%,84.00%,27.00%,26.00%,2.00%,27.65%,75.00%,Good,2022-04-06 00:00:00,32.42%,Yorkshire and The Humber
Southend High School for Boys,Southend-on-Sea,3.00%,91.00%,64.00%,52.00%,3.00%,23.82%,20.00%,Outstanding,2014-12-10 00:00:00,32.32%,East of England
Wymondham College,Norfolk,1.00%,83.00%,42.00%,35.00%,3.00%,19.00%,100.00%,Outstanding,2023-10-10 00:00:00,32.21%,East of England
UTC Portsmouth,Portsmouth,8.00%,71.00%,19.00%,17.00%,0.00%,39.05%,33.33%,Outstanding,2021-06-30 00:00:00,32.17%,South East
West London Free School,Hammersmith and Fulham,1.00%,91.00%,54.00%,47.00%,7.00%,16.27%,75.00%,Good,2022-06-22 00:00:00,32.12%,London
Ark Bolingbroke Academy,Wandsworth,0.00%,90.00%,34.00%,37.00%,2.00%,23.17%,75.00%,Good,2023-05-25 00:00:00,32.12%,London
Rickmansworth School,Hertfordshire,2.00%,87.00%,34.00%,31.00%,0.00%,20.63%,100.00%,Outstanding,2023-09-20 00:00:00,32.00%,East of England
South Axholme Academy,North Lincolnshire,0.00%,76.00%,20.00%,16.00%,0.00%,32.22%,75.00%,Good,2023-01-19 00:00:00,31.96%,Yorkshire and The Humber
King Edward VI Sheldon Heath Academy,Birmingham,0.00%,78.00%,24.00%,23.00%,1.00%,29.57%,75.00%,Good,2023-02-08 00:00:00,31.96%,West Midlands
