School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
Ifield Community College,West Sussex,0.00%,47.00%,4.00%,4.00%,0.00%,11.67%,75.00%,Good,2023-04-26 00:00:00,16.73%,South East
North Chadderton School,Oldham,1.00%,66.00%,12.00%,8.00%,0.00%,10.35%,50.00%,Requires improvement,2022-12-07 00:00:00,16.73%,North West
The Stockwood Park Academy,Luton,0.00%,63.00%,13.00%,10.00%,0.00%,10.42%,50.00%,Requires improvement,2022-03-30 00:00:00,16.71%,East of England
Newham Sixth Form College,Newham,1.00%,75.00%,13.00%,12.00%,0.00%,13.68%,15.00%,Good,2018-12-07 00:00:00,16.71%,London
Coopers School,Bromley,1.00%,69.00%,6.00%,4.00%,,7.43%,75.00%,Good,2023-03-09 00:00:00,16.70%,London
St John Fisher Catholic Comprehensive School,Medway,0.00%,69.00%,4.00%,2.00%,0.00%,16.67%,25.00%,Good,2019-05-22 00:00:00,16.70%,South East
Oasis Academy Hadley,Enfield,1.00%,78.00%,23.00%,22.00%,0.00%,7.80%,25.00%,Good,2021-09-15 00:00:00,16.68%,London
Kenton School,Newcastle upon Tyne,1.00%,59.00%,14.00%,14.00%,0.00%,9.90%,50.00%,Requires improvement,2022-09-14 00:00:00,16.68%,North East
Riverside College Halton,Halton,1.00%,61.00%,15.00%,12.00%,,12.53%,33.33%,Outstanding,2020-03-11 00:00:00,16.66%,North West
St Mary's Catholic High School,Wigan,4.00%,61.00%,17.00%,11.00%,0.00%,13.28%,25.00%,Good,2019-04-03 00:00:00,16.66%,North West
Cox Green School,Windsor and Maidenhead,3.00%,77.00%,15.00%,13.00%,0.00%,12.37%,15.00%,Good,2018-09-20 00:00:00,16.65%,South East
Bridlington School,East Riding of Yorkshire,0.00%,58.00%,0.00%,0.00%,0.00%,11.10%,75.00%,Good,2023-04-20 00:00:00,16.63%,Yorkshire and The Humber
South Dartmoor Community College,Devon,1.00%,61.00%,15.00%,18.00%,0.00%,8.50%,50.00%,Requires improvement,2022-03-30 00:00:00,16.63%,South West
The Burgate School and Sixth Form,Hampshire,2.00%,62.00%,23.00%,17.00%,0.00%,11.20%,25.00%,Good,2019-05-22 00:00:00,16.63%,South East
The Radcliffe School,Milton Keynes,4.00%,70.00%,14.00%,11.00%,2.00%,11.68%,25.00%,Good,2020-01-29 00:00:00,16.61%,South East
Birmingham Metropolitan College,Birmingham,1.00%,56.00%,4.00%,4.00%,0.00%,9.70%,75.00%,Good,2023-10-27 00:00:00,16.58%,West Midlands
The Ferrers School,North Northamptonshire,0.00%,70.00%,14.00%,12.00%,0.00%,12.60%,25.00%,Good,2021-07-08 00:00:00,16.58%,East Midlands
Waddesdon Church of England School,Buckinghamshire,3.00%,72.00%,17.00%,15.00%,2.00%,8.70%,33.33%,Outstanding,2021-12-08 00:00:00,16.54%,South East
Trinity Sixth Form Academy,Calderdale,1.00%,70.00%,22.00%,19.00%,0.00%,8.22%,33.33%,Outstanding,2021-10-06 00:00:00,16.54%,Yorkshire and The Humber
Beechwood School,Slough,2.00%,60.00%,4.00%,4.00%,0.00%,12.93%,50.00%,Requires improvement,2023-01-25 00:00:00,16.53%,South East
Leventhorpe,Hertfordshire,4.00%,70.00%,14.00%,11.00%,0.00%,12.83%,20.00%,Outstanding,2012-01-13 00:00:00,16.52%,East of England
Millom School,Cumberland,20.00%,53.00%,0.00%,0.00%,0.00%,8.33%,75.00%,Good,2022-05-25 00:00:00,16.50%,North West
Woodcote High School,Croydon,1.00%,77.00%,15.00%,9.00%,0.00%,13.13%,15.00%,Good,2018-03-20 00:00:00,16.47%,London
Blenheim High School,Surrey,0.00%,75.00%,18.00%,15.00%,2.00%,9.77%,25.00%,Good,2019-05-01 00:00:00,16.47%,South East
Cleeve School,Gloucestershire,5.00%,73.00%,13.00%,13.00%,1.00%,10.75%,25.00%,Good,2019-10-10 00:00:00,16.47%,South West
Oxford Spires Academy,Oxfordshire,0.00%,72.00%,13.00%,13.00%,0.00%,13.67%,15.00%,Good,2017-11-28 00:00:00,16.47%,South East
Telford College,Telford and Wrekin,1.00%,44.00%,3.00%,2.00%,0.00%,11.97%,75.00%,Good,2022-02-18 00:00:00,16.43%,West Midlands
The Marsh Academy,Kent,0.00%,56.00%,3.00%,3.00%,0.00%,9.93%,75.00%,Good,2022-11-16 00:00:00,16.43%,South East
The Grove School,Shropshire,0.00%,61.00%,14.00%,7.00%,0.00%,10.62%,50.00%,Requires improvement,2023-04-26 00:00:00,16.43%,West Midlands
Devizes School,Wiltshire,2.00%,68.00%,20.00%,20.00%,1.00%,9.43%,25.00%,Good,2019-03-12 00:00:00,16.42%,South West
Bitterne Park School,Southampton,0.00%,66.00%,8.00%,8.00%,0.00%,6.33%,75.00%,Good,2023-01-18 00:00:00,16.38%,South East
St John's Catholic School & Sixth Form College,County Durham,4.00%,69.00%,19.00%,17.00%,0.00%,9.82%,25.00%,Good,2019-01-30 00:00:00,16.36%,North East
Wye School,Kent,0.00%,67.00%,30.00%,26.00%,0.00%,8.85%,15.00%,Good,2018-12-11 00:00:00,16.36%,South East
Heath Park,Wolverhampton,1.00%,82.00%,10.00%,8.00%,0.00%,12.28%,20.00%,Outstanding,2014-02-27 00:00:00,16.36%,West Midlands
University Academy Holbeach,Lincolnshire,3.00%,65.00%,8.00%,6.00%,0.00%,14.67%,25.00%,Good,2019-03-13 00:00:00,16.35%,East Midlands
Thomas Rotherham College,Rotherham,1.00%,70.00%,13.00%,13.00%,,11.92%,25.00%,Good,2019-10-03 00:00:00,16.34%,Yorkshire and The Humber
The Pingle Academy,Derbyshire,2.00%,64.00%,16.00%,14.00%,0.00%,12.05%,25.00%,Good,2021-10-13 00:00:00,16.34%,East Midlands
Wrenn School,North Northamptonshire,0.00%,69.00%,12.00%,10.00%,2.00%,14.17%,15.00%,Good,2018-05-10 00:00:00,16.33%,East Midlands
The Oldershaw School,Wirral,0.00%,41.00%,0.00%,0.00%,0.00%,13.33%,75.00%,Good,2022-03-02 00:00:00,16.33%,North West
St Benedict's Catholic High School,Warwickshire,0.00%,75.00%,16.00%,18.00%,0.00%,11.09%,16.67%,Requires improvement,2020-03-04 00:00:00,16.32%,West Midlands
Samuel Ward Academy,Suffolk,2.00%,46.00%,7.00%,7.00%,0.00%,9.57%,75.00%,Good,2022-11-02 00:00:00,16.32%,East of England
The Sele School,Hertfordshire,0.00%,52.00%,9.00%,4.00%,0.00%,13.33%,50.00%,Requires improvement,2022-10-19 00:00:00,16.32%,East of England
The Marlborough Science Academy,Hertfordshire,0.00%,81.00%,15.00%,14.00%,1.00%,11.07%,15.00%,Good,2018-02-08 00:00:00,16.31%,East of England
Harris Academy Falconwood,Bexley,2.00%,77.00%,10.00%,10.00%,2.00%,11.10%,25.00%,Good,2019-10-17 00:00:00,16.30%,London
Patchway Community School,South Gloucestershire,0.00%,59.00%,3.00%,3.00%,0.00%,13.33%,50.00%,Requires improvement,2022-02-16 00:00:00,16.30%,South West
Tabor Academy,Essex,3.00%,53.00%,13.00%,10.00%,0.00%,10.77%,50.00%,Requires improvement,2023-09-27 00:00:00,16.30%,East of England
La Retraite Roman Catholic Girls' School,Lambeth,0.00%,84.00%,15.00%,13.00%,0.00%,10.13%,20.00%,Outstanding,2013-04-26 00:00:00,16.28%,London
Diss High School,Norfolk,0.00%,76.00%,16.00%,13.00%,2.00%,11.63%,15.00%,Good,2018-03-22 00:00:00,16.28%,East of England
Luminate Education Group,Leeds,1.00%,51.00%,4.00%,3.00%,0.00%,10.08%,75.00%,Good,2022-04-29 00:00:00,16.26%,Yorkshire and The Humber
Downend School,South Gloucestershire,4.00%,62.00%,15.00%,16.00%,0.00%,11.63%,25.00%,Good,2019-01-09 00:00:00,16.25%,South West
London Nautical School,Lambeth,0.00%,60.00%,12.00%,10.00%,0.00%,10.15%,50.00%,Requires improvement,2023-06-23 00:00:00,16.24%,London
Stratford Upon Avon School,Warwickshire,1.00%,71.00%,21.00%,18.00%,0.00%,9.18%,25.00%,Good,2019-11-27 00:00:00,16.22%,West Midlands
Torpoint Community College,Cornwall,3.00%,54.00%,8.00%,8.00%,0.00%,7.50%,75.00%,Good,2022-07-07 00:00:00,16.22%,South West
West Somerset College,Somerset,0.00%,46.00%,6.00%,6.00%,3.00%,13.47%,50.00%,Requires improvement,2023-05-17 00:00:00,16.21%,South West
Ormiston Forge Academy,Sandwell,2.00%,63.00%,14.00%,11.00%,0.00%,12.78%,25.00%,Good,2019-10-23 00:00:00,16.16%,West Midlands
Turton School,Bolton,2.00%,76.00%,20.00%,14.00%,0.00%,9.02%,25.00%,Good,2019-01-22 00:00:00,16.16%,North West
The Westgate School,Slough,1.00%,86.00%,4.00%,4.00%,1.00%,12.75%,20.00%,Outstanding,2014-03-21 00:00:00,16.15%,South East
Carterton Community College,Oxfordshire,0.00%,43.00%,10.00%,5.00%,0.00%,9.83%,75.00%,Good,2022-03-03 00:00:00,16.08%,South East
The Education Training Collective,Stockton-on-Tees,1.00%,52.00%,4.00%,3.00%,0.00%,9.57%,75.00%,Good,2022-05-26 00:00:00,16.08%,North East
Newent Community School and Sixth Form Centre,Gloucestershire,9.00%,66.00%,7.00%,3.00%,0.00%,15.38%,15.00%,Good,2018-03-21 00:00:00,16.07%,South West
Fairfax,Birmingham,4.00%,79.00%,12.00%,12.00%,0.00%,9.73%,25.00%,Good,2019-03-19 00:00:00,16.07%,West Midlands
Homewood School and Sixth Form Centre,Kent,0.00%,55.00%,7.00%,6.00%,1.00%,7.83%,75.00%,Good,2023-04-26 00:00:00,16.06%,South East
Fakenham Academy,Norfolk,1.00%,69.00%,10.00%,8.00%,3.00%,12.20%,25.00%,Good,2019-01-16 00:00:00,16.03%,East of England
The Adeyfield Academy,Hertfordshire,0.00%,74.00%,19.00%,11.00%,0.00%,1.85%,75.00%,Good,2023-01-11 00:00:00,16.03%,East of England
Nene Park Academy,Peterborough,1.00%,53.00%,10.00%,7.00%,1.00%,7.23%,75.00%,Good,2023-10-12 00:00:00,16.03%,East of England
East Durham College,County Durham,0.00%,31.00%,3.00%,3.00%,0.00%,21.58%,25.00%,Good,2021-10-01 00:00:00,16.01%,North East
Thomas Clarkson Academy,Cambridgeshire,0.00%,67.00%,16.00%,13.00%,2.00%,10.87%,25.00%,Good,2020-01-22 00:00:00,15.98%,East of England
Arrow Vale High School,Worcestershire,0.00%,62.00%,8.00%,5.00%,0.00%,15.95%,20.00%,Outstanding,2018-12-05 00:00:00,15.97%,West Midlands
St Peter's School,Cambridgeshire,0.00%,57.00%,5.00%,3.00%,0.00%,8.50%,75.00%,Good,2022-09-22 00:00:00,15.97%,East of England
Shrewsbury Colleges Group,Shropshire,2.00%,61.00%,16.00%,16.00%,1.00%,11.15%,25.00%,Good,2021-11-26 00:00:00,15.97%,West Midlands
Three Rivers Academy,Surrey,0.00%,73.00%,18.00%,13.00%,3.00%,9.22%,25.00%,Good,2019-05-15 00:00:00,15.95%,South East
Montsaye Academy,North Northamptonshire,4.00%,78.00%,9.00%,4.00%,0.00%,11.75%,25.00%,Good,2019-01-23 00:00:00,15.94%,East Midlands
Longfield Academy,Kent,3.00%,50.00%,6.00%,6.00%,0.00%,8.33%,75.00%,Good,2023-09-27 00:00:00,15.93%,South East
The Brakenhale School,Bracknell Forest,3.00%,67.00%,9.00%,9.00%,0.00%,12.72%,25.00%,Good,2019-01-30 00:00:00,15.93%,South East
Sir John Hunt Community Sports College,Plymouth,0.00%,68.00%,5.00%,5.00%,0.00%,6.15%,75.00%,Good,2022-09-22 00:00:00,15.91%,South West
The Bourne Academy,"Bournemouth, Christchurch and Poole",0.00%,69.00%,13.00%,13.00%,0.00%,11.32%,25.00%,Good,2019-11-20 00:00:00,15.88%,South West
Heart of Yorkshire Education Group,Wakefield,1.00%,48.00%,2.00%,2.00%,0.00%,10.33%,75.00%,Good,2023-10-06 00:00:00,15.87%,Yorkshire and The Humber
Honiton Community College,Devon,0.00%,54.00%,4.00%,13.00%,0.00%,11.10%,50.00%,Requires improvement,2022-11-23 00:00:00,15.85%,South West
Newton Abbot College,Devon,0.00%,59.00%,11.00%,11.00%,0.00%,13.67%,25.00%,Good,2019-04-26 00:00:00,15.85%,South West
Beauchamps High School,Essex,3.00%,58.00%,3.00%,3.00%,0.00%,17.10%,20.00%,Outstanding,2014-10-23 00:00:00,15.85%,East of England
Helena Romanes School,Essex,0.00%,55.00%,5.00%,3.00%,0.00%,8.53%,75.00%,Good,2023-10-11 00:00:00,15.82%,East of England
The Mosslands School,Wirral,0.00%,39.00%,7.00%,5.00%,0.00%,20.17%,16.67%,Requires improvement,2021-10-07 00:00:00,15.81%,North West
Brighton Aldridge Community Academy,Brighton and Hove,0.00%,46.00%,2.00%,1.00%,0.00%,15.07%,50.00%,Requires improvement,2023-03-22 00:00:00,15.80%,South East
Waterfront UTC,Medway,11.00%,53.00%,0.00%,0.00%,0.00%,8.33%,75.00%,Good,2023-01-11 00:00:00,15.75%,South East
The Beacon School,Surrey,4.00%,57.00%,6.00%,4.00%,0.00%,11.10%,50.00%,Requires improvement,2023-05-17 00:00:00,15.70%,South East
The Priory City of Lincoln Academy,Lincolnshire,0.00%,64.00%,3.00%,3.00%,0.00%,11.28%,50.00%,Requires improvement,2023-05-11 00:00:00,15.69%,East Midlands
Brigshaw High School,Leeds,2.00%,63.00%,22.00%,16.00%,0.00%,9.52%,25.00%,Good,2019-06-19 00:00:00,15.69%,Yorkshire and The Humber
The Dukeries Academy,Nottinghamshire,0.00%,79.00%,26.00%,21.00%,3.00%,4.75%,25.00%,Good,2021-10-13 00:00:00,15.68%,East Midlands
Petroc,Devon,,50.00%,10.00%,11.00%,1.00%,14.72%,25.00%,Good,2019-11-07 00:00:00,15.67%,South West
Overton Grange School,Sutton,0.00%,73.00%,18.00%,14.00%,1.00%,8.95%,25.00%,Good,2019-03-19 00:00:00,15.67%,London
Wigan and Leigh College,Wigan,2.00%,41.00%,2.00%,1.00%,0.00%,11.12%,75.00%,Good,2022-12-02 00:00:00,15.66%,North West
Amersham School,Buckinghamshire,8.00%,77.00%,13.00%,11.00%,0.00%,8.60%,25.00%,Good,2021-06-30 00:00:00,15.65%,South East
"Sir William Robertson Academy, Welbourn",Lincolnshire,0.00%,71.00%,7.00%,7.00%,2.00%,12.23%,25.00%,Good,2019-03-19 00:00:00,15.65%,East Midlands
Baxter College,Worcestershire,0.00%,47.00%,7.00%,9.00%,2.00%,15.82%,25.00%,Good,2020-01-15 00:00:00,15.64%,West Midlands
Vandyke Upper School,Central Bedfordshire,1.00%,75.00%,22.00%,20.00%,1.00%,8.17%,15.00%,Good,2018-05-03 00:00:00,15.63%,East of England
The Northern School of Art,Middlesbrough,0.00%,75.00%,10.00%,2.00%,0.00%,0.00%,100.00%,Outstanding,2022-02-11 00:00:00,15.62%,North East
John Cabot Academy,South Gloucestershire,1.00%,59.00%,4.00%,7.00%,0.00%,16.67%,15.00%,Good,2018-11-28 00:00:00,15.62%,South West
"Herefordshire, Ludlow and North Shropshire College","Herefordshire, County of",1.00%,36.00%,4.00%,5.00%,0.00%,10.88%,75.00%,Good,2022-10-21 00:00:00,15.61%,West Midlands
Ellesmere Port Church of England College,Cheshire West and Chester,0.00%,62.00%,0.00%,0.00%,0.00%,8.33%,75.00%,Good,2023-03-29 00:00:00,15.58%,North West
Ferndown Upper School,Dorset,2.00%,67.00%,10.00%,7.00%,0.00%,12.43%,25.00%,Good,2021-12-08 00:00:00,15.58%,South West
Harris Academy Orpington,Bromley,2.00%,51.00%,10.00%,10.00%,0.00%,6.17%,75.00%,Good,2023-05-25 00:00:00,15.58%,London
Belfairs Academy,Southend-on-Sea,0.00%,56.00%,7.00%,6.00%,0.00%,6.97%,75.00%,Good,2023-05-18 00:00:00,15.58%,East of England
Berwick Academy,Northumberland,0.00%,56.00%,20.00%,16.00%,2.00%,11.90%,16.67%,Requires improvement,2021-10-13 00:00:00,15.52%,North East
South Wirral High School,Wirral,3.00%,44.00%,9.00%,6.00%,0.00%,8.00%,75.00%,Good,2022-10-12 00:00:00,15.52%,North West
William de Ferrers School,Essex,8.00%,64.00%,17.00%,16.00%,0.00%,10.48%,15.00%,Good,2018-12-05 00:00:00,15.51%,East of England
The Ripley Academy,Derbyshire,0.00%,45.00%,6.00%,3.00%,0.00%,17.73%,25.00%,Good,2020-02-05 00:00:00,15.50%,East Midlands
St Charles Catholic Sixth Form College,Kensington and Chelsea,1.00%,78.00%,6.00%,5.00%,0.00%,3.30%,75.00%,Good,2022-05-13 00:00:00,15.48%,London
Brighouse High School,Calderdale,4.00%,64.00%,7.00%,7.00%,0.00%,4.55%,75.00%,Good,2022-02-16 00:00:00,15.48%,Yorkshire and The Humber
North East Surrey College of Technology,Surrey,1.00%,31.00%,2.00%,1.00%,0.00%,12.50%,75.00%,Good,2023-01-27 00:00:00,15.43%,South East
Nailsea School,North Somerset,0.00%,69.00%,24.00%,23.00%,3.00%,7.22%,16.67%,Requires improvement,2020-03-12 00:00:00,15.42%,South West
Hylands School,Essex,0.00%,78.00%,3.00%,3.00%,0.00%,8.33%,50.00%,Requires improvement,2023-06-08 00:00:00,15.38%,East of England
Haywood Academy,Stoke-on-Trent,0.00%,71.00%,9.00%,6.00%,0.00%,3.70%,75.00%,Good,2023-04-20 00:00:00,15.37%,West Midlands
Lyng Hall School,Coventry,0.00%,68.00%,6.00%,6.00%,0.00%,13.03%,25.00%,Good,2019-06-19 00:00:00,15.37%,West Midlands
Hartpury College,Gloucestershire,1.00%,54.00%,6.00%,5.00%,0.00%,16.20%,20.00%,Outstanding,2018-05-04 00:00:00,15.35%,South West
Sir Robert Pattinson Academy,Lincolnshire,0.00%,56.00%,13.00%,11.00%,0.00%,12.82%,25.00%,Good,2019-11-13 00:00:00,15.34%,East Midlands
Biddenham International School and Sports College,Bedford,1.00%,75.00%,9.00%,8.00%,1.00%,10.47%,25.00%,Good,2019-03-27 00:00:00,15.33%,East of England
The Thomas Aveling School,Medway,1.00%,62.00%,7.00%,2.00%,0.00%,6.08%,75.00%,Good,2022-09-14 00:00:00,15.33%,South East
Neale-Wade Academy,Cambridgeshire,1.00%,63.00%,7.00%,6.00%,0.00%,9.27%,50.00%,Requires improvement,2023-11-01 00:00:00,15.32%,East of England
The Sheffield College,Sheffield,2.00%,51.00%,2.00%,2.00%,0.00%,8.55%,75.00%,Good,2022-12-09 00:00:00,15.31%,Yorkshire and The Humber
Archbishop Beck Catholic College,Liverpool,1.00%,64.00%,15.00%,15.00%,0.00%,10.10%,25.00%,Good,2021-11-04 00:00:00,15.30%,North West
Cromwell Community College,Cambridgeshire,2.00%,62.00%,6.00%,6.00%,0.00%,5.23%,75.00%,Good,2023-09-14 00:00:00,15.30%,East of England
Nicholas Chamberlaine School,Warwickshire,4.00%,77.00%,9.00%,9.00%,0.00%,11.00%,16.67%,Requires improvement,2021-11-25 00:00:00,15.29%,West Midlands
Folkestone Academy,Kent,0.00%,70.00%,5.00%,4.00%,0.00%,4.77%,75.00%,Good,2022-04-21 00:00:00,15.28%,South East
Outwood Academy Adwick,Doncaster,3.00%,59.00%,8.00%,5.00%,0.00%,5.38%,75.00%,Good,2023-01-18 00:00:00,15.27%,Yorkshire and The Humber
Ash Green School,Warwickshire,2.00%,57.00%,20.00%,18.00%,0.00%,13.72%,0.00%,Serious Weaknesses,2022-12-14 00:00:00,15.24%,West Midlands
Haberdashers' Crayford Academy,Bexley,3.00%,62.00%,3.00%,2.00%,0.00%,6.25%,75.00%,Good,2022-12-01 00:00:00,15.24%,London
Notley High School and Braintree Sixth Form,Essex,4.00%,64.00%,10.00%,6.00%,0.00%,7.92%,50.00%,Requires improvement,2023-07-12 00:00:00,15.23%,East of England
St Thomas More High School,Southend-on-Sea,3.00%,76.00%,18.00%,17.00%,1.00%,8.12%,15.00%,Good,2018-04-24 00:00:00,15.22%,East of England
Trinity High School and Sixth Form Centre,Worcestershire,3.00%,69.00%,16.00%,15.00%,0.00%,10.23%,15.00%,Good,2018-10-03 00:00:00,15.20%,West Midlands
Exmouth Community College,Devon,1.00%,57.00%,20.00%,20.00%,1.00%,10.32%,16.67%,Requires improvement,2020-02-12 00:00:00,15.17%,South West
Cecil Jones Academy,Southend-on-Sea,0.00%,13.00%,0.00%,0.00%,0.00%,15.67%,75.00%,Good,2023-09-21 00:00:00,15.17%,East of England
Dartford Science & Technology College,Kent,0.00%,57.00%,0.00%,0.00%,0.00%,8.33%,75.00%,Good,2022-03-16 00:00:00,15.17%,South East
Coombeshead Academy,Devon,0.00%,49.00%,14.00%,16.00%,0.00%,4.05%,75.00%,Good,2023-03-01 00:00:00,15.12%,South West
Branston Community Academy,Lincolnshire,0.00%,72.00%,17.00%,11.00%,0.00%,4.87%,50.00%,Requires improvement,2022-05-12 00:00:00,15.12%,East Midlands
The Quest Academy,Croydon,0.00%,88.00%,12.00%,12.00%,0.00%,8.60%,15.00%,Good,2018-06-06 00:00:00,15.08%,London
Bishop Stopford's School,Enfield,0.00%,71.00%,0.00%,0.00%,0.00%,15.83%,15.00%,Good,2018-06-19 00:00:00,15.08%,London
Forge Valley School,Sheffield,0.00%,65.00%,15.00%,15.00%,1.00%,9.42%,25.00%,Good,2019-05-01 00:00:00,15.08%,Yorkshire and The Humber
Boston High School,Lincolnshire,0.00%,82.00%,13.00%,13.00%,0.00%,9.20%,15.00%,Good,2018-03-13 00:00:00,15.07%,East Midlands
New College Swindon,Swindon,1.00%,53.00%,6.00%,6.00%,,10.58%,50.00%,Requires improvement,2023-01-27 00:00:00,15.06%,South West
Trinity School,Kent,3.00%,69.00%,11.00%,11.00%,0.00%,11.57%,15.00%,Good,2018-10-02 00:00:00,15.05%,South East
Northfleet School for Girls,Kent,0.00%,74.00%,6.00%,4.00%,0.00%,3.42%,75.00%,Good,2022-03-02 00:00:00,15.03%,South East
The Sir Robert Woodard Academy,West Sussex,0.00%,44.00%,12.00%,9.00%,2.00%,14.23%,25.00%,Good,2021-10-20 00:00:00,15.02%,South East
The Sixth Form College Colchester,Essex,2.00%,74.00%,14.00%,13.00%,,9.88%,15.00%,Good,2017-12-15 00:00:00,14.99%,East of England
Tor Bridge High,Plymouth,7.00%,68.00%,10.00%,9.00%,0.00%,9.83%,25.00%,Good,2021-11-17 00:00:00,14.98%,South West
Kingswood Secondary Academy,North Northamptonshire,0.00%,77.00%,6.00%,6.00%,0.00%,10.73%,25.00%,Good,2019-03-13 00:00:00,14.97%,East Midlands
Crawshaw Academy,Leeds,7.00%,71.00%,25.00%,18.00%,4.00%,3.97%,25.00%,Good,2019-07-04 00:00:00,14.95%,Yorkshire and The Humber
Lipson Co-operative Academy,Plymouth,2.00%,50.00%,8.00%,8.00%,0.00%,14.08%,25.00%,Good,2021-11-04 00:00:00,14.93%,South West
The Newark Academy,Nottinghamshire,0.00%,88.00%,13.00%,13.00%,0.00%,6.25%,25.00%,Good,2019-07-10 00:00:00,14.93%,East Midlands
Newham College of Further Education,Newham,1.00%,28.00%,,0.00%,0.00%,12.50%,75.00%,Good,2022-10-07 00:00:00,14.92%,London
Abbeywood Community School,South Gloucestershire,0.00%,57.00%,5.00%,11.00%,0.00%,13.08%,25.00%,Good,2019-11-20 00:00:00,14.89%,South West
St John Rigby RC Sixth Form College,Wigan,1.00%,74.00%,15.00%,11.00%,,9.25%,20.00%,Outstanding,2017-02-17 00:00:00,14.89%,North West
The Grange School,Buckinghamshire,2.00%,69.00%,7.00%,5.00%,0.00%,12.99%,16.67%,Requires improvement,2021-11-03 00:00:00,14.88%,South East
Park Academy West London,Hillingdon,0.00%,73.00%,14.00%,9.00%,0.00%,10.68%,16.67%,Requires improvement,2019-11-14 00:00:00,14.88%,London
Hartismere School,Suffolk,0.00%,68.00%,13.00%,4.00%,0.00%,12.10%,20.00%,Outstanding,2014-11-26 00:00:00,14.87%,East of England
Sir George Monoux College,Waltham Forest,1.00%,80.00%,9.00%,8.00%,0.00%,8.95%,25.00%,Good,2021-11-12 00:00:00,14.86%,London
Immanuel College,Bradford,4.00%,65.00%,13.00%,10.00%,0.00%,9.88%,25.00%,Good,2019-01-09 00:00:00,14.85%,Yorkshire and The Humber
The Arnewood School,Hampshire,0.00%,57.00%,23.00%,15.00%,0.00%,10.82%,15.00%,Good,2018-10-18 00:00:00,14.83%,South East
The Studio School Liverpool,Liverpool,12.00%,81.00%,7.00%,5.00%,0.00%,9.45%,15.00%,Good,2018-12-04 00:00:00,14.81%,North West
Trinity School,West Berkshire,0.00%,58.00%,15.00%,13.00%,3.00%,11.57%,15.00%,Good,2018-07-04 00:00:00,14.79%,South East
Tavistock College,Devon,2.00%,61.00%,16.00%,14.00%,1.00%,13.37%,0.00%,Serious Weaknesses,2022-05-26 00:00:00,14.79%,South West
Gateway Sixth Form College,Leicester,2.00%,77.00%,4.00%,4.00%,0.00%,10.78%,25.00%,Good,2019-10-11 00:00:00,14.79%,East Midlands
Raynes Park High School,Merton,0.00%,72.00%,16.00%,14.00%,0.00%,7.95%,25.00%,Good,2019-01-24 00:00:00,14.79%,London
Ashfield Comprehensive School,Nottinghamshire,4.00%,56.00%,14.00%,12.00%,1.00%,10.43%,25.00%,Good,2021-10-07 00:00:00,14.79%,East Midlands
Manor School,North Northamptonshire,2.00%,63.00%,17.00%,13.00%,2.00%,8.63%,25.00%,Good,2020-03-05 00:00:00,14.78%,East Midlands
Norton Canes High School,Staffordshire,0.00%,61.00%,11.00%,11.00%,0.00%,7.02%,50.00%,Requires improvement,2022-03-09 00:00:00,14.78%,West Midlands
Hilbre High School,Wirral,0.00%,57.00%,15.00%,15.00%,0.00%,10.38%,25.00%,Good,2021-10-13 00:00:00,14.78%,North West
St Cuthbert Mayne School,Torbay,4.00%,67.00%,16.00%,18.00%,0.00%,3.03%,50.00%,Requires improvement,2023-03-22 00:00:00,14.73%,South West
Inspire Education Group,Peterborough,1.00%,36.00%,1.00%,1.00%,0.00%,10.38%,75.00%,Good,2023-03-10 00:00:00,14.71%,East of England
Solihull College & University Centre,Solihull,2.00%,45.00%,2.00%,2.00%,0.00%,8.33%,75.00%,Good,2022-03-11 00:00:00,14.70%,West Midlands
Kempston Academy,Bedford,8.00%,71.00%,4.00%,4.00%,0.00%,12.22%,15.00%,Good,2018-09-13 00:00:00,14.68%,East of England
West Nottinghamshire College,Nottinghamshire,2.00%,43.00%,4.00%,4.00%,0.00%,7.85%,75.00%,Good,2023-03-31 00:00:00,14.66%,East Midlands
Shooters Hill Sixth Form College,Greenwich,1.00%,57.00%,2.00%,2.00%,0.00%,14.73%,25.00%,Good,2019-10-04 00:00:00,14.65%,London
Bexhill College,East Sussex,2.00%,59.00%,12.00%,11.00%,1.00%,10.50%,25.00%,Good,2019-11-07 00:00:00,14.64%,South East
The Leigh Academy,Kent,4.00%,64.00%,6.00%,6.00%,0.00%,3.23%,75.00%,Good,2023-04-26 00:00:00,14.63%,South East
Grace Academy Darlaston,Walsall,0.00%,83.00%,0.00%,0.00%,0.00%,2.93%,75.00%,Good,2022-04-27 00:00:00,14.63%,West Midlands
"Trinity Church of England School, Belvedere",Bexley,0.00%,71.00%,6.00%,4.00%,0.00%,11.47%,25.00%,Good,2021-10-06 00:00:00,14.63%,London
Birkenhead Sixth Form College,Wirral,1.00%,72.00%,16.00%,14.00%,0.00%,8.28%,20.00%,Outstanding,2016-12-09 00:00:00,14.63%,North West
The Thetford Academy,Norfolk,0.00%,63.00%,5.00%,5.00%,2.00%,12.23%,25.00%,Good,2020-03-05 00:00:00,14.62%,East of England
